escenario,seed,nivel_servicio,costo_total
0,42,0.9005523496211908,14616303534.768002
1,101,0.9015445450266811,14692582999.759998
2,202,0.9015952620294386,14685751326.052002
3,303,0.9000289643030188,14599137084.156998
4,404,0.900843837560149,14638290501.603996
5,505,0.8994635833310805,14572064591.693
