dia,distancia_total
1,2708.1960437664184
2,2733.094732876538
3,2703.4750439486784
4,2699.271124615193
5,2735.5175402527743
6,2702.5208334246377
7,2729.51975551353
8,2707.2582230821818
9,2703.732455447212
10,2702.141220216385
11,2705.2424152052727
12,2730.856673667015
13,2702.4553584225755
14,2701.824740985065
15,2697.52727569783
16,2734.067212737506
17,2740.199312005513
18,2735.271770118251
19,2702.2009708892147
20,2703.660294396416
21,2731.283324051928
22,2736.3768676598747
23,2734.0636433755303
24,2737.0459622234216
25,2703.649905409382
26,2740.974914865403
27,2706.6013484846894
28,2700.090917121468
29,2703.3409850636704
30,2709.0061442409224
31,2733.5775538131447
32,2703.7865944275977
33,2735.418765266741
34,2702.874935747378
35,2732.570857290713
36,2736.2858909581823
37,2732.6881094301475
38,2703.6702428626854
39,2738.0132594101724
40,2736.473531988418
