dia,distancia_total
1,2449.53686663448
2,2438.1419608405777
3,2441.416554065272
4,2441.481286469414
5,2441.1566432285254
6,2444.0668244791623
7,2443.2988582579555
8,2444.5007522600126
9,2448.364868983306
10,2428.3093137224305
11,2442.4569571539905
12,2444.2107080861188
13,2441.8805945359245
14,2440.774243007864
15,2440.772488277604
16,2434.369992585882
17,2436.5256903848067
18,2440.819395102123
19,2445.9369149048016
20,2437.9193927914994
21,2444.8367749094923
22,2443.1740386954907
23,2443.468243534111
24,2436.751790799329
25,2432.327482798488
26,2447.122913364651
27,2445.8637010054754
28,2442.5598268938847
29,2445.1762708468623
30,2448.8421874457285
31,2443.189823790951
32,2446.157437775998
33,2438.684158736761
34,2431.9587007343944
35,2440.3934304566646
36,2421.8991648402744
37,2439.9457310820853
38,2438.571097120983
39,2439.6815358021954
40,2434.3860163734826
