dia,distancia_total
1,2463.415934461113
2,2450.9882327610394
3,2455.536578398708
4,2453.852144143781
5,2455.476578398708
6,2458.1171856716032
7,2457.186578398708
8,2457.9665783987075
9,2462.668840033936
10,2443.189999999999
11,2455.666578398708
12,2457.696578398708
13,2455.366578398708
14,2464.5548312809565
15,2453.1475888234445
16,2447.7765783987074
17,2452.963406170061
18,2455.4565352663994
19,2460.065934461113
20,2454.0465783987074
21,2458.056578398708
22,2456.826578398708
23,2457.606578398708
24,2451.415934461112
25,2445.52823276104
26,2459.707588823444
27,2459.9459344611128
28,2466.101322503498
29,2459.285934461112
30,2463.665934461113
31,2456.1859344611125
32,2460.607185671603
33,2452.0975888234448
34,2446.2599999999998
35,2453.596578398707
36,2436.32
37,2464.781322503498
38,2454.2165783987075
39,2452.255934461112
40,2449.81823276104
