dia,distancia_total
1,2738.1973155531746
2,2735.45150032886
3,2702.0877702759058
4,2701.1416744969965
5,2733.7920608202685
6,2730.827029411134
7,2704.686955689744
8,2703.792412323973
9,2702.038553622346
10,2704.964405411716
11,2703.4414765612178
12,2731.5696664194024
13,2702.037274267745
14,2703.314060737082
15,2700.063750315485
16,2705.0196313395727
17,2739.428777113263
18,2735.7342648641275
19,2704.910456321029
20,2705.1640997324266
21,2734.0494201124566
22,2734.154971112084
23,2734.862451377455
24,2736.2048637096086
25,2738.2141192008285
26,2702.692862606448
27,2732.9531850388685
28,2700.496289964887
29,2734.8247235956023
30,2706.9105570302468
31,2735.9492293767207
32,2699.619645506902
33,2699.627401798023
34,2704.124083334781
35,2735.098383923413
36,2738.585510703331
37,2735.792052806009
38,2733.976592114885
39,2707.406593467879
40,2705.725324908849
