id_zona,demanda,tienda
1482,17550,8
1506,24534,8
1507,15147,8
1508,11291,8
1509,12101,8
1510,21478,8
1511,29959,8
1538,9315,8
1539,30188,8
311,13610,9
312,9312,9
340,22165,9
341,22249,9
370,19135,9
399,27376,9
400,9839,9
429,30955,9
430,31075,9
458,22928,9
459,16990,9
460,13754,9
461,22714,9
471,10992,9
489,8749,9
490,21805,9
491,15784,9
500,13352,9
501,19626,9
521,13330,9
522,26890,9
528,18644,9
529,23980,9
530,8753,9
553,21577,9
554,19690,9
557,11643,9
558,19974,9
585,31070,9
586,26643,9
587,29231,9
