dia,distancia_total
1,2735.8876842479026
2,2734.241147873251
3,2733.9901326794184
4,2703.3228994545934
5,2734.3477635847057
6,2737.297352552101
7,2732.675942596562
8,2737.105597453972
9,2703.289002093928
10,2706.8978011796057
11,2732.297101715071
12,2733.048382387898
13,2704.5900068254136
14,2708.391642641101
15,2734.919346675983
16,2701.1032446020126
17,2734.725311135561
18,2700.3200892223736
19,2729.097985377627
20,2702.862320040252
21,2731.3372278063503
22,2733.7368869572533
23,2735.2496392616263
24,2701.8004752534407
25,2732.351574025809
26,2735.125090827764
27,2738.153353931763
28,2700.248063208679
29,2705.70211830236
30,2709.6220808326825
31,2703.5639364313533
32,2731.1324440917565
33,2704.7763314053977
34,2702.781627761214
35,2732.716621277036
36,2737.747878099284
37,2733.290985645246
38,2701.7614807411587
39,2739.8387619609
40,2703.5958844969846
