dia,distancia_total
1,2443.0987187181818
2,2443.978314567991
3,2445.4513697387256
4,2439.0320422898603
5,2440.310353715577
6,2443.9713899608523
7,2448.332863097691
8,2443.313054521751
9,2447.180353010972
10,2428.949970947081
11,2428.777845112925
12,2445.7727746840737
13,2441.7257374641376
14,2431.9672610562848
15,2439.5535674301573
16,2436.5250853683565
17,2435.566631411033
18,2447.397670630396
19,2440.4991801810465
20,2432.6042252303487
21,2444.631494358112
22,2440.55475043773
23,2444.3103532046007
24,2441.0901868774463
25,2424.7261674199626
26,2438.636733794044
27,2444.1733368243977
28,2444.9852449187338
29,2446.9260241545253
30,2433.449935392382
31,2441.179778656563
32,2430.9057222644205
33,2445.81305506982
34,2434.3782953332693
35,2434.440825428273
36,2434.678372731123
37,2448.995452820137
38,2442.3112843845893
39,2445.646129786448
40,2440.643979859409
