id_zona,demanda,tienda
1482,17364,8
1506,26363,8
1507,15136,8
1508,11413,8
1509,12275,8
1510,20884,8
1511,30963,8
1538,9310,8
1539,30410,8
311,12933,9
312,9257,9
340,21959,9
341,21894,9
370,19137,9
399,28171,9
400,10256,9
429,30202,9
430,32246,9
458,21760,9
459,16369,9
460,14081,9
461,22971,9
471,11071,9
489,8761,9
490,21709,9
491,16141,9
500,13788,9
501,19592,9
521,13544,9
522,27352,9
528,18568,9
529,25013,9
530,8655,9
553,22110,9
554,20398,9
557,11644,9
558,20148,9
585,29817,9
586,26771,9
587,29274,9
