tienda,vehiculo,distancia,cluster,cluster_ordenado,n_clientes_ruta,n_k (total clientes),centroide,c_k,p_k (entero óptimo),U_k (entero óptimo)
1,0,4.82842712474619,0,0,5,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
13,0,10.650281539872886,0,0,10,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
4,0,15.656854249492381,0,0,15,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
3,0,18.650281539872886,0,0,18,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
8,0,19.656854249492383,0,0,19,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
12,0,25.23606797749979,0,0,25,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
14,0,25.65685424949238,0,0,25,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
11,0,27.478708664619077,0,0,26,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
4,1,29.65685424949238,0,0,29,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
5,0,30.72792206135786,0,0,28,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
8,1,31.656854249492383,0,0,31,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
12,1,32.485281374238575,0,0,31,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
17,0,33.071067811865476,0,0,31,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
12,2,33.071067811865476,0,0,32,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
9,0,33.071067811865476,0,0,32,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
15,0,33.89949493661166,0,0,32,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
6,0,34.82842712474619,0,0,34,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
16,0,35.13556291411146,0,0,32,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
10,1,35.89949493661166,0,0,34,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
10,0,35.89949493661167,0,0,34,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
17,1,36.48528137423857,0,0,35,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
2,0,36.828427124746185,0,0,37,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
14,1,37.071067811865476,0,0,36,631,28.591378092382975,0.04531121726209663,29.361616161616162,8392.873096608606
16,1,38.48528137423857,1,1,37,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
17,2,38.48528137423857,1,1,37,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
15,1,39.656854249492376,1,1,38,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
7,0,39.92587919304684,1,1,30,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
13,1,40.727922061357845,1,1,38,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
6,1,41.07106781186547,1,1,40,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
16,2,41.47870866461907,1,1,39,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
9,1,41.89949493661166,1,1,39,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
3,1,42.142135623730944,1,1,39,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
8,2,42.71477664211886,1,1,40,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
3,2,43.47870866461908,1,1,41,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
4,2,43.951532750363846,1,1,38,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
7,1,44.48528137423857,1,1,39,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
6,2,44.819131909660754,1,1,39,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
9,2,45.13556291411145,1,1,41,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
8,3,46.838896747497834,1,1,41,1232,47.03859300406581,0.038180676139663805,29.361616161616162,16390.704652178865
