Unnamed: 0,id_zona,id_producto,venta_digital,dia,id_tienda,inventario,inventario_digital
850297,839,566,0,5,12,-1,-1
851311,840,566,0,5,12,-1,-1
876661,865,566,0,5,12,-1,-1
877675,866,566,0,5,12,-1,-1
878689,867,566,0,5,12,-1,-1
879703,868,566,0,5,12,-1,-1
880717,869,566,0,5,12,-1,-1
881731,870,566,0,5,12,-1,-1
907081,895,566,0,5,12,-1,-1
908095,896,566,0,5,12,-1,-1
909109,897,566,0,5,12,-1,-1
910123,898,566,0,5,12,-1,-1
911137,899,566,0,5,12,-1,-1
912151,900,566,0,5,12,-1,-1
937501,925,566,0,5,12,-1,-1
938515,926,566,0,5,12,-1,-1
939529,927,566,0,5,12,-1,-1
940543,928,566,0,5,12,-1,-1
941557,929,566,0,5,12,-1,-1
942571,930,566,0,5,12,-1,-1
967921,955,566,0,5,12,-1,-1
968935,956,566,0,5,12,-1,-1
969949,957,566,0,5,12,-1,-1
970963,958,566,0,5,12,-1,-1
971977,959,566,0,5,12,-1,-1
972991,960,566,0,5,12,-1,-1
998341,985,566,0,5,12,-1,-1
999355,986,566,0,5,12,-1,-1
1000369,987,566,0,5,12,-1,-1
1001383,988,566,0,5,12,-1,-1
1002397,989,566,0,5,12,-1,-1
1003411,990,566,0,5,12,-1,-1
1028761,1015,566,0,5,12,-1,-1
1029775,1016,566,0,5,12,-1,-1
1030789,1017,566,0,5,12,-1,-1
1031803,1018,566,0,5,12,-1,-1
1032817,1019,566,0,5,12,-1,-1
1033831,1020,566,0,5,12,-1,-1
1059181,1045,566,0,5,12,-1,-1
1060195,1046,566,0,5,12,-1,-1
1061209,1047,566,0,5,12,-1,-1
1062223,1048,566,0,5,12,-1,-1
1063237,1049,566,0,5,12,-1,-1
1064251,1050,566,0,5,12,-1,-1
1089601,1075,566,0,5,12,-1,-1
1090615,1076,566,0,5,12,-1,-1
1091629,1077,566,0,5,12,-1,-1
1092643,1078,566,0,5,12,-1,-1
1093657,1079,566,0,5,12,-1,-1
1094671,1080,566,0,5,12,-1,-1
1120021,1105,566,0,5,12,-1,-1
1121035,1106,566,0,5,12,-1,-1
1122049,1107,566,0,5,12,-1,-1
1123063,1108,566,0,5,12,-1,-1
1124077,1109,566,0,5,12,-1,-1
1125091,1110,566,0,5,12,-1,-1
1150441,1135,566,0,5,12,-1,-1
1151455,1136,566,0,5,12,-1,-1
