tienda,vehiculo,distancia,cluster,cluster_ordenado,n_clientes_ruta,n_k (total clientes),centroide,c_k,p_k (entero óptimo),U_k (entero óptimo)
1,0,5.414213562373095,0,0,6,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
13,0,10.650281539872886,0,0,10,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
4,0,15.656854249492381,0,0,15,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
3,0,18.82842712474619,0,0,19,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
8,0,19.656854249492383,0,0,19,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
12,0,25.23606797749979,0,0,25,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
14,0,25.65685424949238,0,0,25,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
11,0,27.478708664619077,0,0,26,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
4,1,29.65685424949238,0,0,29,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
5,0,30.72792206135786,0,0,28,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
8,1,31.478708664619077,0,0,30,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
12,1,32.485281374238575,0,0,31,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
12,2,33.071067811865476,0,0,32,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
17,0,33.071067811865476,0,0,31,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
9,0,33.071067811865476,0,0,32,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
15,0,33.89949493661166,0,0,32,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
6,0,34.82842712474619,0,0,34,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
16,0,35.13556291411146,0,0,32,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
10,1,35.89949493661166,0,0,34,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
10,0,35.89949493661167,0,0,34,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
17,1,36.48528137423857,0,0,35,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
2,0,36.828427124746185,0,0,37,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
14,1,37.071067811865476,0,0,36,632,28.61684706793197,0.04527982131001894,29.361616161616162,8406.18300733733
17,2,38.48528137423857,1,1,37,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
16,1,38.48528137423857,1,1,37,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
15,1,39.656854249492376,1,1,38,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
7,0,39.92587919304684,1,1,30,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
13,1,40.727922061357845,1,1,38,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
6,1,41.07106781186547,1,1,40,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
16,2,41.47870866461907,1,1,39,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
9,1,41.89949493661166,1,1,39,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
3,1,42.142135623730944,1,1,39,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
8,2,42.71477664211886,1,1,40,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
3,2,43.47870866461908,1,1,40,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
4,2,43.951532750363846,1,1,38,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
7,1,44.48528137423857,1,1,39,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
6,2,44.819131909660754,1,1,39,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
9,2,45.13556291411145,1,1,41,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
9,3,47.05055226395663,1,1,40,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
8,3,47.06177259678004,1,1,42,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
