id_zona,distancia,p_k (entero óptimo),U_k (entero óptimo),dia
22,4.82842712474619,0,-16237.043618664291,1
23,4.82842712474619,0,-16237.043618664291,1
24,4.82842712474619,0,-16237.043618664291,1
25,4.82842712474619,0,-16237.043618664291,1
26,4.82842712474619,0,-16237.043618664291,1
27,4.82842712474619,0,-16237.043618664291,1
28,4.82842712474619,0,-16237.043618664291,1
29,4.82842712474619,0,-16237.043618664291,1
30,4.82842712474619,0,-16237.043618664291,1
52,4.82842712474619,0,-16237.043618664291,1
53,4.82842712474619,0,-16237.043618664291,1
54,4.82842712474619,0,-16237.043618664291,1
55,4.82842712474619,0,-16237.043618664291,1
56,4.82842712474619,0,-16237.043618664291,1
57,4.82842712474619,0,-16237.043618664291,1
58,4.82842712474619,0,-16237.043618664291,1
59,4.82842712474619,0,-16237.043618664291,1
60,4.82842712474619,0,-16237.043618664291,1
82,4.82842712474619,0,-16237.043618664291,1
83,4.82842712474619,0,-16237.043618664291,1
84,4.82842712474619,0,-16237.043618664291,1
85,4.82842712474619,0,-16237.043618664291,1
86,4.82842712474619,0,-16237.043618664291,1
87,4.82842712474619,0,-16237.043618664291,1
88,4.82842712474619,0,-16237.043618664291,1
89,4.82842712474619,0,-16237.043618664291,1
90,4.82842712474619,0,-16237.043618664291,1
112,4.82842712474619,0,-16237.043618664291,1
113,4.82842712474619,0,-16237.043618664291,1
114,4.82842712474619,0,-16237.043618664291,1
115,4.82842712474619,0,-16237.043618664291,1
116,4.82842712474619,0,-16237.043618664291,1
117,4.82842712474619,0,-16237.043618664291,1
118,4.82842712474619,0,-16237.043618664291,1
119,4.82842712474619,0,-16237.043618664291,1
120,4.82842712474619,0,-16237.043618664291,1
142,4.82842712474619,0,-16237.043618664291,1
143,4.82842712474619,0,-16237.043618664291,1
144,4.82842712474619,0,-16237.043618664291,1
145,4.82842712474619,0,-16237.043618664291,1
146,4.82842712474619,0,-16237.043618664291,1
147,4.82842712474619,0,-16237.043618664291,1
148,4.82842712474619,0,-16237.043618664291,1
149,4.82842712474619,0,-16237.043618664291,1
150,4.82842712474619,0,-16237.043618664291,1
172,4.82842712474619,0,-16237.043618664291,1
173,4.82842712474619,0,-16237.043618664291,1
174,4.82842712474619,0,-16237.043618664291,1
175,4.82842712474619,0,-16237.043618664291,1
176,4.82842712474619,0,-16237.043618664291,1
177,4.82842712474619,0,-16237.043618664291,1
178,4.82842712474619,0,-16237.043618664291,1
179,4.82842712474619,0,-16237.043618664291,1
180,4.82842712474619,0,-16237.043618664291,1
202,4.82842712474619,0,-16237.043618664291,1
203,4.82842712474619,0,-16237.043618664291,1
204,4.82842712474619,0,-16237.043618664291,1
205,4.82842712474619,0,-16237.043618664291,1
206,4.82842712474619,0,-16237.043618664291,1
207,4.82842712474619,0,-16237.043618664291,1
208,4.82842712474619,0,-16237.043618664291,1
209,4.82842712474619,0,-16237.043618664291,1
210,4.82842712474619,0,-16237.043618664291,1
232,4.82842712474619,0,-16237.043618664291,1
233,4.82842712474619,0,-16237.043618664291,1
234,4.82842712474619,0,-16237.043618664291,1
235,4.82842712474619,0,-16237.043618664291,1
236,4.82842712474619,0,-16237.043618664291,1
237,4.82842712474619,0,-16237.043618664291,1
238,4.82842712474619,0,-16237.043618664291,1
239,4.82842712474619,0,-16237.043618664291,1
240,4.82842712474619,0,-16237.043618664291,1
262,4.82842712474619,0,-16237.043618664291,1
263,4.82842712474619,0,-16237.043618664291,1
264,4.82842712474619,0,-16237.043618664291,1
265,4.82842712474619,0,-16237.043618664291,1
266,4.82842712474619,0,-16237.043618664291,1
267,4.82842712474619,0,-16237.043618664291,1
268,4.82842712474619,0,-16237.043618664291,1
269,4.82842712474619,0,-16237.043618664291,1
270,4.82842712474619,0,-16237.043618664291,1
292,4.82842712474619,0,-16237.043618664291,1
293,4.82842712474619,0,-16237.043618664291,1
294,4.82842712474619,0,-16237.043618664291,1
295,4.82842712474619,0,-16237.043618664291,1
296,4.82842712474619,0,-16237.043618664291,1
297,4.82842712474619,0,-16237.043618664291,1
298,4.82842712474619,0,-16237.043618664291,1
299,4.82842712474619,0,-16237.043618664291,1
300,4.82842712474619,0,-16237.043618664291,1
322,4.82842712474619,0,-16237.043618664291,1
323,4.82842712474619,0,-16237.043618664291,1
324,4.82842712474619,0,-16237.043618664291,1
325,4.82842712474619,0,-16237.043618664291,1
326,4.82842712474619,0,-16237.043618664291,1
327,4.82842712474619,0,-16237.043618664291,1
328,4.82842712474619,0,-16237.043618664291,1
329,4.82842712474619,0,-16237.043618664291,1
330,4.82842712474619,0,-16237.043618664291,1
352,4.82842712474619,0,-16237.043618664291,1
353,4.82842712474619,0,-16237.043618664291,1
354,4.82842712474619,0,-16237.043618664291,1
355,4.82842712474619,0,-16237.043618664291,1
356,4.82842712474619,0,-16237.043618664291,1
357,4.82842712474619,0,-16237.043618664291,1
358,4.82842712474619,0,-16237.043618664291,1
359,4.82842712474619,0,-16237.043618664291,1
360,4.82842712474619,0,-16237.043618664291,1
382,4.82842712474619,0,-16237.043618664291,1
383,4.82842712474619,0,-16237.043618664291,1
384,4.82842712474619,0,-16237.043618664291,1
385,4.82842712474619,0,-16237.043618664291,1
386,4.82842712474619,0,-16237.043618664291,1
387,4.82842712474619,0,-16237.043618664291,1
388,4.82842712474619,0,-16237.043618664291,1
389,4.82842712474619,0,-16237.043618664291,1
390,4.82842712474619,0,-16237.043618664291,1
412,4.82842712474619,0,-16237.043618664291,1
413,4.82842712474619,0,-16237.043618664291,1
414,4.82842712474619,0,-16237.043618664291,1
415,4.82842712474619,0,-16237.043618664291,1
416,4.82842712474619,0,-16237.043618664291,1
417,4.82842712474619,0,-16237.043618664291,1
418,4.82842712474619,0,-16237.043618664291,1
442,4.82842712474619,0,-16237.043618664291,1
443,4.82842712474619,0,-16237.043618664291,1
444,4.82842712474619,0,-16237.043618664291,1
445,4.82842712474619,0,-16237.043618664291,1
472,4.82842712474619,0,-16237.043618664291,1
473,4.82842712474619,0,-16237.043618664291,1
1406,10.650281539872886,0,-16237.043618664291,1
1435,10.650281539872886,0,-16237.043618664291,1
1436,10.650281539872886,0,-16237.043618664291,1
1437,10.650281539872886,0,-16237.043618664291,1
1464,10.650281539872886,0,-16237.043618664291,1
1465,10.650281539872886,0,-16237.043618664291,1
1466,10.650281539872886,0,-16237.043618664291,1
1467,10.650281539872886,0,-16237.043618664291,1
1493,10.650281539872886,0,-16237.043618664291,1
1494,10.650281539872886,0,-16237.043618664291,1
1495,10.650281539872886,0,-16237.043618664291,1
1496,10.650281539872886,0,-16237.043618664291,1
1497,10.650281539872886,0,-16237.043618664291,1
1522,10.650281539872886,0,-16237.043618664291,1
1523,10.650281539872886,0,-16237.043618664291,1
1524,10.650281539872886,0,-16237.043618664291,1
1525,10.650281539872886,0,-16237.043618664291,1
1526,10.650281539872886,0,-16237.043618664291,1
1527,10.650281539872886,0,-16237.043618664291,1
1551,10.650281539872886,0,-16237.043618664291,1
1552,10.650281539872886,0,-16237.043618664291,1
1553,10.650281539872886,0,-16237.043618664291,1
1554,10.650281539872886,0,-16237.043618664291,1
1555,10.650281539872886,0,-16237.043618664291,1
1556,10.650281539872886,0,-16237.043618664291,1
1557,10.650281539872886,0,-16237.043618664291,1
1582,10.650281539872886,0,-16237.043618664291,1
1583,10.650281539872886,0,-16237.043618664291,1
1584,10.650281539872886,0,-16237.043618664291,1
1585,10.650281539872886,0,-16237.043618664291,1
1586,10.650281539872886,0,-16237.043618664291,1
1587,10.650281539872886,0,-16237.043618664291,1
1588,10.650281539872886,0,-16237.043618664291,1
1612,10.650281539872886,0,-16237.043618664291,1
1613,10.650281539872886,0,-16237.043618664291,1
1614,10.650281539872886,0,-16237.043618664291,1
1615,10.650281539872886,0,-16237.043618664291,1
1616,10.650281539872886,0,-16237.043618664291,1
1617,10.650281539872886,0,-16237.043618664291,1
1643,10.650281539872886,0,-16237.043618664291,1
1644,10.650281539872886,0,-16237.043618664291,1
1645,10.650281539872886,0,-16237.043618664291,1
1646,10.650281539872886,0,-16237.043618664291,1
1674,10.650281539872886,0,-16237.043618664291,1
1675,10.650281539872886,0,-16237.043618664291,1
1618,15.656854249492381,0,-16237.043618664291,1
1619,15.656854249492381,0,-16237.043618664291,1
