dia,distancia_total
1,2439.8109705703546
2,2428.821849983705
3,2444.7424223574217
4,2438.9069539849515
5,2436.397970520245
6,2443.933409158698
7,2446.718214320361
8,2440.4378728701795
9,2448.823104494269
10,2446.750752563952
11,2444.371717860772
12,2447.2194837074458
13,2443.93277827203
14,2431.01084699264
15,2444.7393586239223
16,2440.719425226951
17,2444.764185362633
18,2438.472627365477
19,2446.3597936180704
20,2440.563843158536
21,2449.575013367284
22,2420.916937332716
23,2445.0919164119973
24,2447.7768934639826
25,2423.530355552139
26,2438.4232619622544
27,2435.866616764859
28,2449.6218772846337
29,2443.823075640583
30,2444.5802372402445
31,2444.811388377543
32,2446.9261112931363
33,2442.69570442727
34,2432.570887245333
35,2435.7715567124023
36,2441.5362118297458
37,2440.251940394448
38,2442.525060809073
39,2441.363087348226
40,2439.437427254305
