dia,distancia_total
1,2464.5557512561168
2,2442.49
3,2470.2513225034977
4,2455.172106905025
5,2451.946578398708
6,2457.327185671603
7,2460.6059344611126
8,2453.9059344611123
9,2462.697588823444
10,2459.53823276104
11,2458.0259344611127
12,2460.305934461113
13,2457.47387110856
14,2445.47
15,2457.967588823444
16,2453.9465783987075
17,2458.9559344611125
18,2461.9657512561166
19,2460.486578398708
20,2456.795934461112
21,2462.8059344611124
22,2435.5999999999995
23,2459.226578398708
24,2463.1171856716032
25,2438.1599999999994
26,2451.8982327610397
27,2450.116578398708
28,2463.505934461113
29,2457.6959344611123
30,2458.6959344611128
31,2458.036578398708
32,2460.148840033935
33,2456.8265783987085
34,2446.61
35,2450.1282327610397
36,2455.006578398708
37,2453.496578398708
38,2457.646578398708
39,2464.651322503498
40,2452.656578398707
