dia,distancia_total
1,2736.0151000720384
2,2736.6624492461456
3,2735.9262537096056
4,2704.531511024974
5,2699.020440553797
6,2734.629472494364
7,2700.5761519892144
8,2703.694030082367
9,2698.831112383738
10,2710.598855398064
11,2702.222673199797
12,2741.003837611987
13,2704.094684226651
14,2711.7490288946287
15,2699.1467509326585
16,2701.5488196916185
17,2739.1961139866507
18,2735.226012149662
19,2704.9756395540203
20,2735.922909281793
21,2731.7539661388228
22,2734.154971112084
23,2734.788388170352
24,2734.901603661014
25,2734.607615930404
26,2706.358836990088
27,2733.529528415398
28,2703.364082071637
29,2703.3409850636704
30,2706.52643232546
31,2703.6531961676947
32,2734.775869176517
33,2704.725962337889
34,2703.4972298083726
35,2732.353060504829
36,2737.730764298426
37,2732.9874534745563
38,2706.160292435064
39,2737.617528611876
40,2702.023712154397
