id_zona,distancia,p_k (entero óptimo),U_k (entero óptimo),dia
1512,0.0,0,-1264.8923151940892,29
1540,0.0,0,-1264.8923151940892,29
1541,0.0,0,-1264.8923151940892,29
1542,0.0,0,-1264.8923151940892,29
1568,0.0,0,-1264.8923151940892,29
1569,0.0,0,-1264.8923151940892,29
1570,0.0,0,-1264.8923151940892,29
1571,0.0,0,-1264.8923151940892,29
1572,0.0,0,-1264.8923151940892,29
1573,0.0,0,-1264.8923151940892,29
1596,0.0,0,-1264.8923151940892,29
1597,0.0,0,-1264.8923151940892,29
1598,0.0,0,-1264.8923151940892,29
1599,0.0,0,-1264.8923151940892,29
1600,0.0,0,-1264.8923151940892,29
1601,0.0,0,-1264.8923151940892,29
1602,0.0,0,-1264.8923151940892,29
1603,0.0,0,-1264.8923151940892,29
1624,0.0,0,-1264.8923151940892,29
1625,0.0,0,-1264.8923151940892,29
1626,0.0,0,-1264.8923151940892,29
1627,0.0,0,-1264.8923151940892,29
1628,0.0,0,-1264.8923151940892,29
1629,0.0,0,-1264.8923151940892,29
1630,0.0,0,-1264.8923151940892,29
1631,0.0,0,-1264.8923151940892,29
1632,0.0,0,-1264.8923151940892,29
1633,0.0,0,-1264.8923151940892,29
1653,0.0,0,-1264.8923151940892,29
1654,0.0,0,-1264.8923151940892,29
1655,0.0,0,-1264.8923151940892,29
1656,0.0,0,-1264.8923151940892,29
1657,0.0,0,-1264.8923151940892,29
1658,0.0,0,-1264.8923151940892,29
1659,0.0,0,-1264.8923151940892,29
1660,0.0,0,-1264.8923151940892,29
1661,0.0,0,-1264.8923151940892,29
1662,0.0,0,-1264.8923151940892,29
1663,0.0,0,-1264.8923151940892,29
1664,0.0,0,-1264.8923151940892,29
1681,0.0,0,-1264.8923151940892,29
1682,0.0,0,-1264.8923151940892,29
1683,0.0,0,-1264.8923151940892,29
1684,0.0,0,-1264.8923151940892,29
1685,0.0,0,-1264.8923151940892,29
1686,0.0,0,-1264.8923151940892,29
1687,0.0,0,-1264.8923151940892,29
1688,0.0,0,-1264.8923151940892,29
1689,0.0,0,-1264.8923151940892,29
1690,0.0,0,-1264.8923151940892,29
1691,0.0,0,-1264.8923151940892,29
1692,0.0,0,-1264.8923151940892,29
1693,0.0,0,-1264.8923151940892,29
1694,0.0,0,-1264.8923151940892,29
1711,0.0,0,-1264.8923151940892,29
1712,0.0,0,-1264.8923151940892,29
