escenario,seed,nivel_servicio,costo_total
0,42,0.9901550157141218,6879848576.954999
1,101,0.9902352498499981,6922232215.297
2,202,0.9902233712994486,6918923683.528
3,303,0.9900197170371331,6869979708.315999
4,404,0.9902337556626158,6891823122.637001
5,505,0.9900403446373985,6854090970.28
