tienda,vehiculo,distancia,cluster,cluster_ordenado,n_clientes_ruta,n_k (total clientes),centroide,c_k,p_k (entero óptimo),U_k (entero óptimo)
13,0,10.650281539872886,2,0,10,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
1,0,12.82842712474619,2,0,13,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
4,0,15.656854249492381,2,0,15,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
8,0,18.242640687119284,2,0,18,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
3,0,18.82842712474619,2,0,19,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
12,0,25.23606797749979,2,0,25,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
14,0,25.65685424949238,2,0,25,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
5,0,25.899494936611667,2,0,24,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
11,0,27.478708664619077,2,0,26,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
4,1,29.65685424949238,2,0,29,204,21.013461080369222,0.10300716215867266,29.361616161616162,2708.045202981778
8,1,31.656854249492383,0,1,31,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
12,1,32.485281374238575,0,1,31,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
12,2,33.071067811865476,0,1,32,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
17,0,33.071067811865476,0,1,31,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
9,0,33.071067811865476,0,1,32,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
15,0,33.89949493661166,0,1,32,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
16,0,35.13556291411146,0,1,32,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
10,1,35.89949493661166,0,1,34,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
10,0,35.89949493661167,0,1,34,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
6,0,36.06449510224598,0,1,35,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
17,1,36.48528137423857,0,1,35,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
2,0,36.828427124746185,0,1,37,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
14,1,37.071067811865476,0,1,36,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
17,2,38.48528137423857,0,1,37,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
16,1,38.48528137423857,0,1,37,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
15,1,39.656854249492376,0,1,38,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
6,1,39.656854249492376,0,1,39,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
1,1,39.65685424949238,0,1,38,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
7,0,39.92587919304684,0,1,30,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
13,1,40.727922061357845,0,1,38,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
9,1,41.31370849898475,0,1,39,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
16,2,41.47870866461907,0,1,39,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
8,2,41.656854249492376,0,1,40,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
6,2,42.06449510224598,0,1,39,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
3,1,42.142135623730944,0,1,39,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
3,2,43.47870866461908,0,1,40,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
