id_zona,demanda,tienda
1482,17344,8
1506,25777,8
1507,14795,8
1508,11222,8
1509,12149,8
1510,21247,8
1511,28876,8
1538,8901,8
1539,28845,8
282,14357,9
311,12904,9
312,9191,9
340,22404,9
341,22267,9
370,19309,9
399,27056,9
400,10130,9
429,31614,9
430,31414,9
458,22391,9
459,16726,9
460,13707,9
461,23366,9
471,10938,9
489,8574,9
490,22235,9
491,16084,9
500,13764,9
501,19361,9
521,13382,9
522,26407,9
528,18710,9
529,24388,9
530,8777,9
553,22376,9
554,20355,9
557,11795,9
558,20148,9
585,30819,9
586,26505,9
587,28990,9
