id_zona,distancia,p_k (entero óptimo),U_k (entero óptimo),dia
1512,0.0,0,-1292.0071884672648,33
1540,0.0,0,-1292.0071884672648,33
1541,0.0,0,-1292.0071884672648,33
1542,0.0,0,-1292.0071884672648,33
1568,0.0,0,-1292.0071884672648,33
1569,0.0,0,-1292.0071884672648,33
1570,0.0,0,-1292.0071884672648,33
1571,0.0,0,-1292.0071884672648,33
1572,0.0,0,-1292.0071884672648,33
1573,0.0,0,-1292.0071884672648,33
1596,0.0,0,-1292.0071884672648,33
1597,0.0,0,-1292.0071884672648,33
1598,0.0,0,-1292.0071884672648,33
1599,0.0,0,-1292.0071884672648,33
1600,0.0,0,-1292.0071884672648,33
1601,0.0,0,-1292.0071884672648,33
1602,0.0,0,-1292.0071884672648,33
1603,0.0,0,-1292.0071884672648,33
1624,0.0,0,-1292.0071884672648,33
1625,0.0,0,-1292.0071884672648,33
1626,0.0,0,-1292.0071884672648,33
1627,0.0,0,-1292.0071884672648,33
1628,0.0,0,-1292.0071884672648,33
1629,0.0,0,-1292.0071884672648,33
1630,0.0,0,-1292.0071884672648,33
1631,0.0,0,-1292.0071884672648,33
1632,0.0,0,-1292.0071884672648,33
1633,0.0,0,-1292.0071884672648,33
1653,0.0,0,-1292.0071884672648,33
1654,0.0,0,-1292.0071884672648,33
1655,0.0,0,-1292.0071884672648,33
1656,0.0,0,-1292.0071884672648,33
1657,0.0,0,-1292.0071884672648,33
1658,0.0,0,-1292.0071884672648,33
1659,0.0,0,-1292.0071884672648,33
1660,0.0,0,-1292.0071884672648,33
1661,0.0,0,-1292.0071884672648,33
1662,0.0,0,-1292.0071884672648,33
1663,0.0,0,-1292.0071884672648,33
1664,0.0,0,-1292.0071884672648,33
1681,0.0,0,-1292.0071884672648,33
1682,0.0,0,-1292.0071884672648,33
1683,0.0,0,-1292.0071884672648,33
1684,0.0,0,-1292.0071884672648,33
1685,0.0,0,-1292.0071884672648,33
1686,0.0,0,-1292.0071884672648,33
1687,0.0,0,-1292.0071884672648,33
1688,0.0,0,-1292.0071884672648,33
1689,0.0,0,-1292.0071884672648,33
1690,0.0,0,-1292.0071884672648,33
1691,0.0,0,-1292.0071884672648,33
1692,0.0,0,-1292.0071884672648,33
1693,0.0,0,-1292.0071884672648,33
1694,0.0,0,-1292.0071884672648,33
1711,0.0,0,-1292.0071884672648,33
1712,0.0,0,-1292.0071884672648,33
1713,0.0,0,-1292.0071884672648,33
1714,0.0,0,-1292.0071884672648,33
1715,0.0,0,-1292.0071884672648,33
1716,0.0,0,-1292.0071884672648,33
1717,0.0,0,-1292.0071884672648,33
1718,0.0,0,-1292.0071884672648,33
1719,0.0,0,-1292.0071884672648,33
1720,0.0,0,-1292.0071884672648,33
1721,0.0,0,-1292.0071884672648,33
1722,0.0,0,-1292.0071884672648,33
1723,0.0,0,-1292.0071884672648,33
1724,0.0,0,-1292.0071884672648,33
1741,0.0,0,-1292.0071884672648,33
1742,0.0,0,-1292.0071884672648,33
1743,0.0,0,-1292.0071884672648,33
1744,0.0,0,-1292.0071884672648,33
1745,0.0,0,-1292.0071884672648,33
1746,0.0,0,-1292.0071884672648,33
1747,0.0,0,-1292.0071884672648,33
1748,0.0,0,-1292.0071884672648,33
1749,0.0,0,-1292.0071884672648,33
1750,0.0,0,-1292.0071884672648,33
1751,0.0,0,-1292.0071884672648,33
1752,0.0,0,-1292.0071884672648,33
1753,0.0,0,-1292.0071884672648,33
1754,0.0,0,-1292.0071884672648,33
1755,0.0,0,-1292.0071884672648,33
1771,0.0,0,-1292.0071884672648,33
1772,0.0,0,-1292.0071884672648,33
1773,0.0,0,-1292.0071884672648,33
1774,0.0,0,-1292.0071884672648,33
1775,0.0,0,-1292.0071884672648,33
1776,0.0,0,-1292.0071884672648,33
1777,0.0,0,-1292.0071884672648,33
1778,0.0,0,-1292.0071884672648,33
1779,0.0,0,-1292.0071884672648,33
1780,0.0,0,-1292.0071884672648,33
1781,0.0,0,-1292.0071884672648,33
1782,0.0,0,-1292.0071884672648,33
1783,0.0,0,-1292.0071884672648,33
1784,0.0,0,-1292.0071884672648,33
1785,0.0,0,-1292.0071884672648,33
1801,0.0,0,-1292.0071884672648,33
1802,0.0,0,-1292.0071884672648,33
1803,0.0,0,-1292.0071884672648,33
1804,0.0,0,-1292.0071884672648,33
1805,0.0,0,-1292.0071884672648,33
1806,0.0,0,-1292.0071884672648,33
1807,0.0,0,-1292.0071884672648,33
1808,0.0,0,-1292.0071884672648,33
1809,0.0,0,-1292.0071884672648,33
1810,0.0,0,-1292.0071884672648,33
1811,0.0,0,-1292.0071884672648,33
1812,0.0,0,-1292.0071884672648,33
1813,0.0,0,-1292.0071884672648,33
1814,0.0,0,-1292.0071884672648,33
1815,0.0,0,-1292.0071884672648,33
1831,0.0,0,-1292.0071884672648,33
1832,0.0,0,-1292.0071884672648,33
1833,0.0,0,-1292.0071884672648,33
1834,0.0,0,-1292.0071884672648,33
1835,0.0,0,-1292.0071884672648,33
1836,0.0,0,-1292.0071884672648,33
1837,0.0,0,-1292.0071884672648,33
1838,0.0,0,-1292.0071884672648,33
1839,0.0,0,-1292.0071884672648,33
1840,0.0,0,-1292.0071884672648,33
1841,0.0,0,-1292.0071884672648,33
1842,0.0,0,-1292.0071884672648,33
1843,0.0,0,-1292.0071884672648,33
1844,0.0,0,-1292.0071884672648,33
1845,0.0,0,-1292.0071884672648,33
1846,0.0,0,-1292.0071884672648,33
1861,0.0,0,-1292.0071884672648,33
1862,0.0,0,-1292.0071884672648,33
1863,0.0,0,-1292.0071884672648,33
1864,0.0,0,-1292.0071884672648,33
1865,0.0,0,-1292.0071884672648,33
1866,0.0,0,-1292.0071884672648,33
1867,0.0,0,-1292.0071884672648,33
1868,0.0,0,-1292.0071884672648,33
1869,0.0,0,-1292.0071884672648,33
1870,0.0,0,-1292.0071884672648,33
1871,0.0,0,-1292.0071884672648,33
1872,0.0,0,-1292.0071884672648,33
1873,0.0,0,-1292.0071884672648,33
1874,0.0,0,-1292.0071884672648,33
1875,0.0,0,-1292.0071884672648,33
1876,0.0,0,-1292.0071884672648,33
1891,0.0,0,-1292.0071884672648,33
1892,0.0,0,-1292.0071884672648,33
1893,0.0,0,-1292.0071884672648,33
1894,0.0,0,-1292.0071884672648,33
1895,0.0,0,-1292.0071884672648,33
1896,0.0,0,-1292.0071884672648,33
1897,0.0,0,-1292.0071884672648,33
1898,0.0,0,-1292.0071884672648,33
1899,0.0,0,-1292.0071884672648,33
1900,0.0,0,-1292.0071884672648,33
1901,0.0,0,-1292.0071884672648,33
1902,0.0,0,-1292.0071884672648,33
1903,0.0,0,-1292.0071884672648,33
1904,0.0,0,-1292.0071884672648,33
1905,0.0,0,-1292.0071884672648,33
1906,0.0,0,-1292.0071884672648,33
1921,0.0,0,-1292.0071884672648,33
1922,0.0,0,-1292.0071884672648,33
1923,0.0,0,-1292.0071884672648,33
1924,0.0,0,-1292.0071884672648,33
1925,0.0,0,-1292.0071884672648,33
1926,0.0,0,-1292.0071884672648,33
1927,0.0,0,-1292.0071884672648,33
1928,0.0,0,-1292.0071884672648,33
1929,0.0,0,-1292.0071884672648,33
1930,0.0,0,-1292.0071884672648,33
1931,0.0,0,-1292.0071884672648,33
1932,0.0,0,-1292.0071884672648,33
1933,0.0,0,-1292.0071884672648,33
1934,0.0,0,-1292.0071884672648,33
1935,0.0,0,-1292.0071884672648,33
1936,0.0,0,-1292.0071884672648,33
1937,0.0,0,-1292.0071884672648,33
1951,0.0,0,-1292.0071884672648,33
1952,0.0,0,-1292.0071884672648,33
1953,0.0,0,-1292.0071884672648,33
1954,0.0,0,-1292.0071884672648,33
1955,0.0,0,-1292.0071884672648,33
1956,0.0,0,-1292.0071884672648,33
1957,0.0,0,-1292.0071884672648,33
1958,0.0,0,-1292.0071884672648,33
1959,0.0,0,-1292.0071884672648,33
1960,0.0,0,-1292.0071884672648,33
1961,0.0,0,-1292.0071884672648,33
1962,0.0,0,-1292.0071884672648,33
1963,0.0,0,-1292.0071884672648,33
1964,0.0,0,-1292.0071884672648,33
1965,0.0,0,-1292.0071884672648,33
1966,0.0,0,-1292.0071884672648,33
1967,0.0,0,-1292.0071884672648,33
1981,0.0,0,-1292.0071884672648,33
1982,0.0,0,-1292.0071884672648,33
1983,0.0,0,-1292.0071884672648,33
