dia,distancia_total
1,2449.107535857473
2,2429.1659688980453
3,2441.171376123664
4,2446.533198890725
5,2439.8362060761074
6,2445.5346890551764
7,2441.5705123111666
8,2450.0580006876435
9,2448.206690558428
10,2428.1196090045837
11,2444.195788584705
12,2442.3534186216693
13,2448.5579597398946
14,2443.768739162282
15,2437.938918652826
16,2442.441905986654
17,2443.0604259981774
18,2440.476784539832
19,2438.20278565538
20,2434.776089875734
21,2443.3336019929666
22,2436.759513932635
23,2442.7063928269035
24,2443.7249821818377
25,2439.009566244242
26,2441.170869014294
27,2440.346595577032
28,2444.9451209616
29,2444.085900214649
30,2438.186721910007
31,2444.925002941941
32,2439.357166364035
33,2430.1240743580283
34,2449.714195484132
35,2443.9834886870167
36,2441.731580727082
37,2448.2561309718976
38,2446.302220276641
39,2444.52415707268
40,2442.506494938186
