dia,distancia_total
1,2462.577185671604
2,2442.8299999999995
3,2455.296578398708
4,2462.7921069050253
5,2455.32786898838
6,2461.007185671603
7,2466.171322503498
8,2463.535934461113
9,2461.2071856716034
10,2442.99
11,2457.4082327610395
12,2455.846578398708
13,2461.7738711085594
14,2467.0948312809564
15,2450.31823276104
16,2456.566578398708
17,2457.186578398708
18,2453.6965783987075
19,2453.6804756821457
20,2452.4375888234445
21,2456.3259344611124
22,2451.78823276104
23,2456.766578398708
24,2458.4259344611123
25,2452.01823276104
26,2454.6359344611124
27,2454.5959344611124
28,2458.176578398708
29,2459.4371856716034
30,2453.206578398708
31,2457.2859344611124
32,2452.3659344611124
33,2444.17
34,2462.9371856716043
35,2458.1059344611126
36,2454.956578398708
37,2461.4759344611125
38,2459.9375888234445
39,2457.1159344611124
40,2457.386578398708
