dia,distancia_total
1,2704.6161172902403
2,2741.6558653409675
3,2736.69171171407
4,2731.0359483184943
5,2730.9335017151343
6,2699.283999951068
7,2731.5598419960534
8,2710.078013571492
9,2699.6869541495507
10,2706.2292204128635
11,2704.8535114221763
12,2732.916875731615
13,2702.493398618197
14,2703.314060737082
15,2702.900148232842
16,2704.014805566374
17,2734.725311135561
18,2706.074346803497
19,2701.6109811624447
20,2732.402274200535
21,2731.53131179068
22,2731.474287131225
23,2734.7972681444635
24,2702.679551247652
25,2734.950883138236
26,2708.016917704096
27,2737.81421850115
28,2735.422296239497
29,2737.137748817948
30,2705.954756233271
31,2735.1150265176184
32,2730.7221162280475
33,2701.199574140611
34,2702.688893892628
35,2735.516468078243
36,2737.3363042762057
37,2734.2815545306025
38,2703.1996007757903
39,2706.935951380984
40,2734.39993130954
