dia,distancia_total
1,2445.792798854448
2,2431.2239210100897
3,2445.773034016611
4,2437.18334905911
5,2433.935877483033
6,2443.4985658751075
7,2441.272198852106
8,2445.8701116148395
9,2442.402190941687
10,2431.4529196291232
11,2442.5958115385843
12,2440.0857086661936
13,2440.837338430125
14,2450.4023481192817
15,2443.475019381321
16,2444.5456669727373
17,2441.756103296423
18,2445.1872475789837
19,2447.7492103130053
20,2431.688452652377
21,2446.3097135941607
22,2435.2177156805747
23,2445.4605100313847
24,2438.399869405347
25,2417.4340585440123
26,2437.766890459068
27,2442.490543068252
28,2448.748719895478
29,2443.170056105253
30,2443.740907865475
31,2440.8331002702325
32,2446.2681608414496
33,2439.3498500156875
34,2432.7724308114857
35,2447.944345883427
36,2441.72307436988
37,2441.7778793530333
38,2445.6398852109105
39,2447.044149106422
40,2444.188418456035
